,Name,Price,Brand,Review counts,Review score,Product status,Company name,Link,RAM,RAM Type,Ratio RAM/€
462,"640 G1 i5-4340M - 8GB - 256GB-SSD - DVDRW - 14""HD+ - COA",258.55,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2353281-3019-hp-640-g1-i5-4340m-8gb-256gb-ssd-dvdrw-14-hd-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.03094179075614001
463,"640 G1 i5-4340M - 8GB - 240GB-SSD - DVDRW - 14""HD+ - COA",229.46,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2353263-3016-hp-640-g1-i5-4340m-8gb-240gb-ssd-dvdrw-14-hd-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.034864464394665735
464,"ProBook 640 G1 i5-4210M - 8GB - 240GB-SSD - DVDRW - 14""HD+ - No COA",317.77,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2353261-3013-hp-probook-640-g1-i5-4210m-8gb-240gb-ssd-dvdrw-14-hd-no-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.02517544135695629
465,"ProBook 640 G1 i5-4200M - 8GB - 256GB-SSD - DVDRW - 14""HD+ - No COA",303.25,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2353257-3011-hp-probook-640-g1-i5-4200m-8gb-256gb-ssd-dvdrw-14-hd-no-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.026380873866446827
466,"640 G2 i5-6300U - 8GB - 256GB-SSD - DVDRW - 14""FHD - No COA",312.0,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2353176-2988-hp-640-g2-i5-6300u-8gb-256gb-ssd-dvdrw-14-fhd-no-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.02564102564102564
467,"EliteBook 840 G1 WWAN i5-4300U - 8GB - 500GB - 14""HD+ - No COA",243.0,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2353042-2981-hp-elitebook-840-g1-wwan-i5-4300u-8gb-500gb-14-hd-no-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.03292181069958848
468,"Latitude 5480 i5-6200U - 8GB - 256GB-SSD - 14""HD - W10P CMAR",404.98,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2353034-2979-dell-latitude-5480-i5-6200u-8gb-256gb-ssd-14-hd-w10p-cmar-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.019754061928984146
469,"EliteBook 840 G1 WWAN i5-4300U - 8GB - 500GB - 14""HD+ - W8P COA",297.45,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2353016-2977-hp-elitebook-840-g1-wwan-i5-4300u-8gb-500gb-14-hd-w8p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.02689527651706169
470,"EliteBook 840 G2 WWAN i5-5300U - 8GB - 256GB-SSD - 14""HD+ - W10P COA",317.77,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2353013-2974-hp-elitebook-840-g2-wwan-i5-5300u-8gb-256gb-ssd-14-hd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.02517544135695629
471,"Latitude E6420 i5-2540M - 4GB - 320GB - DVDRW - 14""HD+ - W7P COA",213.98,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2352966-2970-dell-latitude-e6420-i5-2540m-4gb-320gb-dvdrw-14-hd-w7p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,4,RAM1,0.01869333582577811
472,"Latitude E6420 i5-2520M - 4GB - 320GB - DVDRW - 14""HD+ - W7P COA",213.1,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2352920-2966-dell-latitude-e6420-i5-2520m-4gb-320gb-dvdrw-14-hd-w7p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,4,RAM1,0.018770530267480056
473,"Latitude E6430 i5-3340M - 4GB - 320GB - DVDRW - 14""HD - W7P COA",239.19,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2352917-2964-dell-latitude-e6430-i5-3340m-4gb-320gb-dvdrw-14-hd-w7p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,4,RAM1,0.016723107153309085
474,"Latitude E6430 i5-3320M - 4GB - 320GB - DVDRW - 14""HD - W7P COA",239.19,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2352910-2962-dell-latitude-e6430-i5-3320m-4gb-320gb-dvdrw-14-hd-w7p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,4,RAM1,0.016723107153309085
475,"ZBook 15 G3 i7-6820HQ - 32GB - 256GB-SSD - 15.6""FHD - COA",643.0,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/workstation/2352802-2949-hp-zbook-15-g3-i7-6820hq-32gb-256gb-ssd-156-fhd-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,32,RAM3,0.049766718506998445
476,"L450 i5-5300U - 8GB - 256GB-SSD - 14""HD - W10P COA",212.67,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2352675-2936-lenovo-l450-i5-5300u-8gb-256gb-ssd-14-hd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.03761696525132835
477,"L450 i5-4300U - 8GB - 256GB-SSD - 14""HD - W7P COA",293.01,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2352674-2934-lenovo-l450-i5-4300u-8gb-256gb-ssd-14-hd-w7p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.027302822429268625
478,"ThinkPad T440 WWAN i5-4300U - 4GB - 500GB - 14""HD - W8P COA",299.29,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2352480-2879-lenovo-thinkpad-t440-wwan-i5-4300u-4gb-500gb-14-hd-w8p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,4,RAM1,0.013364963747535834
479,"ThinkPad T440 WWAN i5-4300U - 8GB - 256GB-SSD - 14""FHD - W8P COA",338.09,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2352479-2877-lenovo-thinkpad-t440-wwan-i5-4300u-8gb-256gb-ssd-14-fhd-w8p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.023662338430595405
480,"ZBook 15 G3 i7-6820HQ - 16GB - 500GB - 15.6""FHD - W10P COA",602.49,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/workstation/2352374-2867-hp-zbook-15-g3-i7-6820hq-16gb-500gb-156-fhd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,16,RAM2,0.02655645736858703
481,"ZBook 15 G3 i7-6700HQ - 32GB - 512GB-SSD - 15.6""FHD - COA",629.97,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/workstation/2352373-2865-hp-zbook-15-g3-i7-6700hq-32gb-512gb-ssd-156-fhd-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,32,RAM3,0.05079606965411051
482,"XPS 13 9310 i7-1165G7 - 8GB - 512SSD - 13.4""WUXGA - W10P",1163.32,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2352151-2829-dell-xps-13-9310-i7-1165g7-8gb-512ssd-134-wuxga-w10p-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.006876869648935805
483,"ThinkPad T440 i5-4300U - 8GB - 256GB-SSD - 14""FHD - W8P COA",321.51,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2352104-2814-lenovo-thinkpad-t440-i5-4300u-8gb-256gb-ssd-14-fhd-w8p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.024882585300612735
484,"Latitude E5440 i5-4310U - 8GB - 128GB-SSD - DVD - 14""HD - W10P",362.34,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2352046-2804-dell-latitude-e5440-i5-4310u-8gb-128gb-ssd-dvd-14-hd-w10p-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.02207871060330077
485,"DELL QC T560 i7-6600U - 32GB - 256GB-SSD - 15.6""FHD - W10P COA",735.87,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2352040-2802-lenovo-dell-qc-t560-i7-6600u-32gb-256gb-ssd-156-fhd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,32,RAM3,0.043485941810374115
486,"Precision 7510 i7-6820HQ - 32GB - 512GB-SSD+1TB - 15.6""FHD - COA",764.24,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/workstation/2351950-2796-dell-precision-7510-i7-6820hq-32gb-512gb-ssd1tb-156-fhd-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,32,RAM3,0.04187166335182665
487,"Precision 3520 i7-7820HQ - 16GB - 256GB-SSD - 15.6""FHD - W10P COA",736.93,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/workstation/2351865-2787-dell-precision-3520-i7-7820hq-16gb-256gb-ssd-156-fhd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,16,RAM2,0.021711695819141574
488,"LENOVO QC P50 i7-6820HQ - 16GB - 256GB-SSD - 15.6""FHD - W10P COA",723.93,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/workstation/2351831-2785-lenovo-lenovo-qc-p50-i7-6820hq-16gb-256gb-ssd-156-fhd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,16,RAM2,0.022101584407332203
489,"HPINC ZBook 15 G3 i7-6820HQ - 32GB - 256GB-SSD - 15.6""FHD - COA",643.0,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/workstation/2351774-2774-hp-hpinc-zbook-15-g3-i7-6820hq-32gb-256gb-ssd-156-fhd-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,32,RAM3,0.049766718506998445
490,"HPINC ZBook 15 G3 i7-6820HQ - 16GB - 256GB-SSD - 15.6""FHD - COA",750.55,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/workstation/2351769-2773-hp-hpinc-zbook-15-g3-i7-6820hq-16gb-256gb-ssd-156-fhd-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,16,RAM2,0.021317700353074412
491,"HPINC ZBook 15 G3 i7-6820HQ - 16GB - 256GB-SSD - 15.6""FHD - COA",750.55,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/workstation/2351767-2771-hp-hpinc-zbook-15-g3-i7-6820hq-16gb-256gb-ssd-156-fhd-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,16,RAM2,0.021317700353074412
492,"Latitude E7270 i7-6600U - 16GB - 256GB-SSD - 12.5""FHD - W10P",654.37,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2351762-2767-dell-latitude-e7270-i7-6600u-16gb-256gb-ssd-125-fhd-w10p-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,16,RAM2,0.024450998670476946
